 col,row,time,value
         8,         7,  0.4730000E+04,  0.5010000E+00
         8,         7,  0.4740000E+04,  0.5010000E+00
         8,         7,  0.4750000E+04,  0.5010000E+00
         8,         7,  0.4760000E+04,  0.5010000E+00
         8,         7,  0.4770000E+04,  0.5010000E+00
         8,         7,  0.4780000E+04,  0.5010000E+00
         8,         7,  0.4790000E+04,  0.5010000E+00
         8,         7,  0.4800000E+04,  0.5010000E+00
         8,         7,  0.4810000E+04,  0.5010000E+00
         8,         7,  0.4820000E+04,  0.5010000E+00
         8,         7,  0.4830000E+04,  0.5010000E+00
         8,         7,  0.4840000E+04,  0.5010000E+00
         8,         7,  0.4850000E+04,  0.5010000E+00
         8,         7,  0.4860000E+04,  0.5010000E+00
         8,         7,  0.4870000E+04,  0.5010000E+00
         8,         7,  0.4880000E+04,  0.5010000E+00
         8,         7,  0.4890000E+04,  0.5010000E+00
         8,         7,  0.4900000E+04,  0.5010000E+00
         8,         7,  0.4910000E+04,  0.5010000E+00
         8,         7,  0.4920000E+04,  0.5010000E+00
         8,         7,  0.4930000E+04,  0.5010000E+00
         8,         7,  0.4940000E+04,  0.5010000E+00
         8,         7,  0.4950000E+04,  0.5010000E+00
         8,         7,  0.4960000E+04,  0.5010000E+00
         8,         7,  0.4970000E+04,  0.5010000E+00
         8,         7,  0.4980000E+04,  0.5010000E+00
         8,         7,  0.4990000E+04,  0.5010000E+00
         8,         7,  0.5000000E+04,  0.5010000E+00
         8,         7,  0.5010000E+04,  0.5010000E+00
         8,         7,  0.5020000E+04,  0.5010000E+00
         8,         7,  0.5030000E+04,  0.5010000E+00
         8,         7,  0.5040000E+04,  0.5010000E+00
